,City,Cloudiness,Country,Date,Humidity,Lat,Lng,Max Temp,Wind Speed
0,Albany,90,US,1551921267,72,42.65,-73.75,17.6,11.41
1,Waipawa,0,NZ,1551918556,41,-39.94,176.59,80.01,1.99
2,Verkhoyansk,80,RU,1551921441,72,67.55,133.39,-11.89,3.74
3,Tonantins,20,BR,1551921441,59,-2.86,-67.77,87.16,7.65
4,Puerto Ayora,20,EC,1551916800,78,-0.74,-90.35,80.6,6.93
5,Vaini,0,IN,1551916800,87,15.34,74.49,53.6,2.17
6,Lavrentiya,76,RU,1551921442,100,65.58,-170.99,18.49,5.41
7,Pangody,76,RU,1551921442,82,65.85,74.49,17.09,20.62
8,Boa Vista,0,BR,1551920400,45,2.82,-60.67,87.8,12.75
9,Mount Gambier,8,AU,1551916800,48,-37.83,140.78,60.8,8.05
10,Mataura,92,NZ,1551921006,91,-46.19,168.86,55.99,14.0
11,Nikolskoye,0,RU,1551918600,62,59.7,30.79,21.2,6.71
12,Ushuaia,44,AR,1551921445,96,-54.81,-68.31,37.88,12.12
13,Killin,1,US,1551921179,45,33.61,-91.74,44.6,6.93
14,Paita,88,PE,1551921207,69,-5.09,-81.11,79.55,5.75
15,Avarua,88,CK,1551918600,66,-21.21,-159.78,84.2,19.46
16,Nouadhibou,0,MR,1551916800,82,20.93,-17.03,62.6,18.34
17,Krasnoborsk,56,RU,1551921446,80,61.56,45.93,8.0,7.54
18,Sorong,68,ID,1551921446,100,-0.86,131.25,78.83,4.29
19,Bundaberg,75,AU,1551921309,70,-24.87,152.35,88.0,12.75
20,Ouallam,0,NE,1551921447,19,14.32,2.08,68.66,7.99
21,Punta Arenas,40,CL,1551921188,99,-53.16,-70.91,44.6,14.99
22,Busselton,88,AU,1551921351,63,-33.64,115.35,71.01,8.21
23,Thompson,20,CA,1551916800,55,55.74,-97.86,10.4,11.41
24,Jacareacanga,8,BR,1551921448,86,-6.22,-57.76,79.06,2.17
25,Rikitea,88,PF,1551921449,98,-23.12,-134.97,80.72,17.72
26,Atuona,32,PF,1551921449,99,-9.8,-139.03,82.66,17.27
27,Cape Town,20,ZA,1551921375,82,-33.93,18.42,66.99,4.7
28,Mandalgovi,0,MN,1551921449,76,45.76,106.27,12.73,5.08
29,Linxia,92,CN,1551921450,90,35.6,103.21,25.01,2.95
30,Isangel,75,VU,1551916800,79,-19.55,169.27,84.2,6.93
31,College,90,US,1551921246,79,64.86,-147.8,26.01,4.18
32,Bredasdorp,32,ZA,1551921407,87,-34.53,20.04,60.8,6.93
33,New Norfolk,40,AU,1551921374,44,-42.78,147.06,62.01,14.99
34,Biltine,0,TD,1551921451,28,14.53,20.93,72.26,7.54
35,Hobart,40,AU,1551921441,44,-42.88,147.33,62.01,14.99
36,Cayenne,20,GF,1551918600,78,4.94,-52.33,78.8,8.05
37,Belmonte,68,PT,1551921302,90,40.36,-7.35,42.01,1.01
38,Hermanus,0,ZA,1551921407,95,-34.42,19.24,64.0,1.01
39,Iquitos,75,PE,1551916800,83,-3.75,-73.25,82.4,3.36
40,Fortuna,0,ES,1551921443,41,38.18,-1.13,60.01,8.05
41,Sinnamary,76,GF,1551921453,92,5.38,-52.96,80.14,12.8
42,Marystown,68,CA,1551921031,100,47.17,-55.16,27.0,9.66
43,Salalah,0,OM,1551916200,73,17.01,54.1,73.4,3.36
44,Bluff,0,AU,1551921453,65,-23.58,149.07,82.93,7.2
45,Kodiak,1,US,1551921429,63,39.95,-94.76,32.0,5.82
46,Usogorsk,20,RU,1551921454,75,63.43,48.71,6.92,5.86
47,Douentza,8,ML,1551921454,54,15.01,-2.95,57.23,3.18
48,Mayo,5,CA,1551916800,43,63.59,-135.9,14.0,3.62
49,Key West,1,US,1551921388,77,47.93,-96.78,3.2,4.7
50,Olinda,75,EC,1551921425,83,-2.03,-79.75,82.4,6.93
51,Ca Mau,24,VN,1551921362,100,9.18,105.15,71.59,3.62
52,Merauke,68,ID,1551921455,94,-8.49,140.4,82.34,4.41
53,Solana Beach,90,US,1551921266,87,32.99,-117.27,61.0,5.82
54,Seoul,1,KR,1551919800,65,37.57,126.98,44.6,3.36
55,Saint George,20,GR,1551916200,86,39.45,22.34,48.2,0.38
56,Ilulissat,12,GL,1551919800,44,69.22,-51.1,19.4,3.36
57,Souillac,92,FR,1551921383,93,45.6,-0.6,51.01,9.17
58,Winnemucca,75,US,1551921342,81,40.97,-117.74,48.0,5.82
59,Sola,75,NO,1551921371,70,58.89,5.65,44.6,17.22
60,Upernavik,8,GL,1551921458,100,72.79,-56.15,3.86,18.05
61,Taunggyi,0,MM,1551921458,85,20.78,97.03,56.56,3.62
62,Khani,92,GE,1551918600,93,41.96,42.96,48.2,3.36
63,Lasa,92,CY,1551921364,77,34.92,32.53,60.8,14.99
64,Srednekolymsk,56,RU,1551921459,61,67.46,153.71,-7.75,3.06
65,Pekan,75,MY,1551916800,100,3.49,103.39,75.2,2.17
66,Shache,12,CN,1551921182,51,38.42,77.24,25.0,4.07
67,Aberdeen,1,US,1551921326,72,45.47,-98.49,10.4,11.41
68,Naze,40,NG,1551916800,94,5.43,7.07,73.4,4.97
69,Utete,64,TZ,1551921460,90,-7.99,38.76,78.92,3.96
70,Jamestown,20,AU,1551921461,57,-33.21,138.6,58.58,10.67
71,Flinders,0,AU,1551921425,34,-34.58,150.85,73.0,10.29
72,Kaitangata,0,NZ,1551921437,42,-46.28,169.85,72.0,7.0
73,Kahului,75,US,1551921402,64,20.89,-156.47,77.0,19.46
74,Kochevo,8,BG,1551918600,60,42.1,24.92,42.8,3.85
75,Aklavik,90,CA,1551920400,56,68.22,-135.01,17.6,3.29
76,Poum,0,MK,1551921464,81,41.28,20.71,24.11,1.72
77,Bonfim,0,GY,1551920878,42,3.36,-59.84,90.17,14.03
78,Marion,1,US,1551921422,43,35.21,-90.2,39.2,3.36
79,Saskylakh,88,RU,1551921465,72,71.97,114.09,-2.85,13.24
80,Quesnel,88,CA,1551920432,44,52.98,-122.49,30.0,1.01
81,Dingle,0,PH,1551921465,75,11.0,122.67,77.57,13.47
82,Barrow,20,AR,1551921465,55,-38.31,-60.23,81.71,18.72
83,Mago,0,RU,1551921466,57,53.27,140.15,11.24,2.84
84,Nola,32,CF,1551921466,96,3.52,16.05,70.33,2.06
85,Bogo,0,CM,1551921466,25,10.74,14.61,75.19,10.67
86,Ribeira Grande,76,PT,1551921467,94,38.52,-28.7,62.09,17.6
87,Goderich,48,CA,1551921396,76,43.74,-81.71,17.01,1.99
88,Seymchan,64,RU,1551921467,80,62.93,152.39,-2.4,2.73
89,Petropavlovsk-Kamchatskiy,75,RU,1551918600,62,53.05,158.65,21.2,7.2
90,Buala,92,SB,1551921468,83,-8.15,159.59,84.91,7.65
91,Benguela,80,AO,1551921468,100,-12.58,13.4,80.59,8.21
92,Port Keats,0,AU,1551921468,83,-14.25,129.55,86.53,8.66
93,Zalari,88,RU,1551921469,86,53.57,102.52,22.22,12.01
94,Zhangye,32,CN,1551921469,70,38.94,100.46,21.46,3.62
95,Riohacha,80,CO,1551921469,77,11.54,-72.91,81.31,14.47
96,Shaowu,88,CN,1551921470,97,27.34,117.49,46.07,2.62
97,Coquimbo,0,CL,1551916800,87,-29.95,-71.34,60.8,3.36
98,Sao Filipe,0,CV,1551921470,95,14.9,-24.5,70.96,18.28
99,Lagoa,0,PT,1551921128,81,37.14,-8.45,51.8,4.7
100,Teguldet,68,RU,1551921470,85,57.31,88.17,16.69,4.18
101,Nago,75,IT,1551921461,81,45.88,10.89,54.0,6.93
102,Demba,32,CD,1551921471,96,-5.47,22.27,72.53,2.73
103,Port Blair,88,IN,1551921471,100,11.67,92.75,80.45,6.98
104,Kaduqli,0,SD,1551921471,28,11.01,29.72,71.41,11.12
105,Narsaq,40,GL,1551919800,29,60.91,-46.05,37.4,28.86
106,Nizwa,0,OM,1551921333,86,22.93,57.53,51.79,1.95
107,Nyimba,92,ZM,1551921472,89,-14.56,30.81,70.91,2.62
108,Harper,40,US,1551920786,45,30.3,-99.24,51.01,8.05
109,Norman Wells,40,CA,1551916800,44,65.28,-126.83,19.4,2.06
110,Pitsunda,90,GE,1551918600,87,43.16,40.34,42.8,13.42
111,East London,0,ZA,1551921473,94,-33.02,27.91,78.11,4.74
112,Walvis Bay,0,NA,1551920584,88,-22.95,14.51,64.99,3.36
113,Opuwo,0,NA,1551921473,59,-18.06,13.84,63.62,3.74
114,Vestmanna,48,FO,1551919800,74,62.16,-7.17,33.8,2.24
115,Yulara,0,AU,1551916800,19,-25.24,130.99,78.8,17.22
116,Kirensk,64,RU,1551921474,80,57.78,108.12,17.14,2.51
117,Hilo,90,US,1551921442,64,19.71,-155.08,73.4,8.05
118,Qaanaaq,64,GL,1551921475,80,77.48,-69.36,-2.26,3.4
119,Polovinnoye,92,RU,1551921475,93,54.79,65.99,35.9,21.41
120,Codrington,90,AU,1551921212,69,-28.95,153.24,82.4,17.22
121,Kaniama,8,CD,1551921476,97,-7.57,24.18,65.29,1.95
122,Chokurdakh,0,RU,1551921476,59,70.62,147.9,-12.75,8.88
123,Bloomingdale,1,US,1551921354,50,41.96,-88.08,30.2,13.87
124,Grindavik,75,IS,1551920956,79,63.84,-22.43,28.99,19.46
125,Pouembout,20,NC,1551921478,69,-21.12,164.9,82.88,5.75
126,Marica,40,BR,1551921001,83,-22.92,-42.82,87.8,13.13
127,Oranjemund,92,ZA,1551921478,94,-28.55,16.43,63.8,3.74
128,Castro,75,CL,1551916800,76,-42.48,-73.76,57.2,8.05
129,Katsuura,40,JP,1551920082,71,33.93,134.5,53.6,17.22
130,San Patricio,0,PY,1551921479,77,-26.98,-56.83,79.51,4.29
131,Port Alfred,0,ZA,1551921435,87,-33.59,26.89,71.01,8.01
132,Carnarvon,68,ZA,1551921480,38,-30.97,22.13,70.46,13.24
133,Arraial do Cabo,32,BR,1551921480,87,-22.97,-42.02,81.35,16.49
134,Okha,0,RU,1551921480,75,53.59,142.95,5.39,7.31
135,Ambulu,92,ID,1551921481,100,-8.35,113.61,72.62,8.99
136,Sao Jose da Coroa Grande,80,BR,1551921481,100,-8.9,-35.15,74.87,3.06
137,Alamogordo,1,US,1551921423,17,32.9,-105.96,71.6,13.87
138,Beringovskiy,32,RU,1551921482,96,63.05,179.32,25.51,14.25
139,Drochia,0,MD,1551921482,77,48.03,27.81,25.91,2.95
140,Dikson,32,RU,1551921482,76,73.51,80.55,-0.6,23.31
141,San Cristobal,75,EC,1551921392,82,-0.39,-78.55,60.8,6.93
142,Luganville,64,VU,1551921418,96,-15.51,167.18,83.74,4.52
143,Rameshki,36,RU,1551921483,74,57.35,36.05,9.71,11.01
144,Saint-Philippe,1,CA,1551921461,61,45.36,-73.48,12.99,12.75
145,Mocuba,92,MZ,1551921484,97,-16.84,36.99,72.58,3.96
146,Rawson,76,AR,1551921484,26,-43.3,-65.11,77.93,27.0
147,Araouane,0,ML,1551921484,26,18.9,-3.53,55.21,1.95
148,Ancud,75,CL,1551916800,76,-41.87,-73.83,57.2,8.05
149,Campeche,75,MX,1551916500,61,19.84,-90.54,82.4,11.41
150,Cidreira,92,BR,1551921485,85,-30.17,-50.22,78.16,10.67
151,Noumea,0,NC,1551918600,62,-22.28,166.46,87.8,9.17
152,Da Lat,32,VN,1551921297,84,11.95,108.44,62.9,1.16
153,Wagar,20,US,1551921452,69,31.44,-87.99,45.0,2.62
154,Marsaxlokk,0,MT,1551921403,100,35.84,14.54,57.99,6.93
155,Port Elizabeth,1,US,1551921483,38,39.31,-74.98,27.0,10.29
156,Chumikan,0,RU,1551921487,58,54.72,135.31,19.25,7.2
157,Vostok,0,RU,1551921487,59,46.45,135.83,19.39,2.39
158,Nyrob,92,RU,1551921488,93,60.74,56.73,25.37,18.16
159,Torbay,90,CA,1551921413,100,47.66,-52.73,24.01,9.17
160,Geraldton,75,CA,1551920400,60,49.72,-86.95,5.0,9.17
161,Karratha,0,AU,1551921308,66,-20.74,116.85,82.25,4.63
162,Vardo,1,US,1551921393,48,39.62,-77.74,26.01,8.05
163,Arica,0,CL,1551916800,64,-18.48,-70.32,71.6,2.24
164,Alta Floresta,44,BR,1551921489,92,-9.87,-56.08,76.13,2.06
165,Pincher Creek,90,CA,1551918300,77,49.49,-113.95,6.8,8.05
166,Moose Factory,75,CA,1551916800,84,51.26,-80.61,-2.21,6.93
167,Lata,36,IN,1551921490,91,30.78,78.62,30.77,2.28
168,Chiredzi,44,ZW,1551921490,56,-21.05,31.67,78.56,12.24
169,Dengzhou,0,CN,1551921490,53,32.69,112.08,38.56,10.78
170,Pathein,64,MM,1551921491,93,16.78,94.73,68.93,3.18
171,Moron,20,VE,1551921491,77,10.49,-68.2,72.31,4.29
172,Namatanai,48,PG,1551921491,97,-3.66,152.44,84.14,2.73
173,Saint-Pierre,92,FR,1551921483,93,48.95,4.24,53.6,19.46
174,Puerto Cabezas,0,NI,1551921364,85,14.04,-83.39,81.49,20.51
175,Sawakin,0,SD,1551921493,100,19.1,37.33,59.48,8.77
176,Nemuro,20,JP,1551916800,68,43.32,145.57,26.6,11.41
177,Tsabong,0,BW,1551921493,38,-26.02,22.4,78.47,11.01
178,Bam,0,IR,1551921494,74,29.11,58.36,35.23,4.63
179,Bambous Virieux,40,MU,1551921244,83,-20.34,57.76,77.0,4.85
180,Dudinka,32,RU,1551921494,77,69.41,86.18,-0.91,21.52
181,Touros,40,BR,1551920400,83,-5.2,-35.46,80.6,6.93
182,Dunedin,0,NZ,1551921027,43,-45.87,170.5,75.99,5.99
183,Kamenka,0,RU,1551921496,79,53.19,44.05,10.25,8.66
184,Shimoda,75,JP,1551918600,93,34.7,138.93,53.6,20.8
185,Tasiilaq,76,GL,1551919800,62,65.61,-37.64,19.4,25.28
186,Tiksi,88,RU,1551921497,72,71.64,128.87,5.66,2.62
187,Ailigandi,92,PA,1551921497,77,9.23,-78.02,77.98,10.67
188,Ozu,75,JP,1551921490,76,33.51,132.54,51.8,13.87
189,Yellowknife,5,CA,1551921369,72,62.45,-114.38,12.2,9.17
190,Husavik,12,CA,1551921271,72,50.56,-96.99,5.0,5.64
191,Kapaa,90,US,1551920903,60,22.08,-159.32,77.0,18.34
192,Aba,40,NG,1551916800,94,5.11,7.36,73.4,4.97
193,Sangar,80,RU,1551921499,67,63.92,127.47,1.84,6.76
194,Kirakira,80,SB,1551921499,96,-10.46,161.92,84.41,10.0
195,Ust-Omchug,24,RU,1551921499,78,61.13,149.63,-6.49,3.51
196,Padang,40,ID,1551916800,88,-0.92,100.36,78.8,4.7
197,Eureka,90,US,1551921243,100,40.8,-124.16,48.0,11.41
198,Butaritari,80,KI,1551921500,100,3.07,172.79,80.63,8.21
199,Airai,68,TL,1551921500,81,-8.93,125.41,75.28,1.61
200,Honiara,32,SB,1551921500,68,-9.43,159.96,86.21,3.62
201,Mar del Plata,92,AR,1551921501,51,-46.43,-67.52,64.16,22.53
202,Talcahuano,90,CL,1551917700,87,-36.72,-73.12,60.8,10.29
203,Qujing,92,CN,1551921351,96,25.49,103.8,48.64,5.53
204,Christiana,0,ZA,1551921502,53,-27.91,25.16,69.65,10.67
205,Atar,0,MR,1551921502,25,20.52,-13.05,59.66,7.99
206,Constitucion,90,MX,1551921017,7,23.99,-104.67,78.8,17.22
207,Kingston,1,CA,1551921403,43,44.23,-76.48,12.99,6.93
208,Ambon,75,FR,1551921501,87,47.55,-2.56,48.99,11.41
209,Bar-le-Duc,80,FR,1551921483,87,48.77,5.16,59.0,12.75
210,Mangai,48,CD,1551921504,90,-4.07,19.59,76.58,3.06
211,Tollose,92,DK,1551921460,93,55.61,11.77,45.0,11.41
212,Ust-Ilimsk,8,RU,1551921504,82,57.96,102.73,14.12,3.74
213,Tuktoyaktuk,90,CA,1551916800,77,69.44,-133.03,5.0,4.7
214,Novopokrovka,0,RU,1551921505,53,45.85,134.51,22.94,3.29
215,Halifax,20,CA,1551921364,72,44.65,-63.58,19.4,11.41
216,Kanda,75,JP,1551921307,93,35.7,139.76,50.0,16.11
217,Berlevag,56,NO,1551921506,100,70.86,29.09,22.09,19.73
218,Esperance,20,TT,1551921401,78,10.24,-61.45,78.8,6.93
219,Sept-Iles,75,CA,1551921209,45,50.2,-66.38,6.01,9.17
220,Jijiga,0,ET,1551921506,94,9.35,42.8,49.49,2.06
221,Provideniya,0,RU,1551918600,57,64.42,-173.23,23.0,6.71
222,Mayumba,0,GA,1551921507,98,-3.44,10.65,78.29,3.74
223,Herat,0,AF,1551921507,80,34.35,62.22,28.7,3.85
224,Carutapera,76,BR,1551921507,93,-1.2,-46.02,77.75,6.64
225,Zhangjiakou,0,CN,1551921507,66,40.77,114.88,15.43,2.95
226,Paamiut,24,GL,1551921508,85,61.99,-49.67,33.88,41.54
227,Abu Kamal,44,SY,1551921508,79,34.45,40.92,47.33,8.32
228,Kutum,0,SD,1551921508,36,14.2,24.66,59.89,9.22
229,San Jose,0,PH,1551921390,86,15.79,120.99,74.15,2.84
230,Kaeo,8,NZ,1551920884,67,-35.1,173.78,81.0,8.99
231,Carros,75,FR,1551921460,76,43.78,7.19,57.2,12.75
232,Iqaluit,40,CA,1551921163,62,63.75,-68.52,-16.01,25.28
233,Hovd,0,NO,1551921364,79,63.83,10.7,25.0,11.41
234,Sorland,88,NO,1551921510,100,67.67,12.69,35.54,20.18
235,Kampot,0,KH,1551918600,88,10.62,104.18,73.4,3.36
236,Nara,75,JP,1551921255,81,34.68,135.8,52.0,14.99
237,Bobcaygeon,90,CA,1551921382,72,44.54,-78.55,12.2,16.11
238,Rome,0,IT,1551921244,81,41.89,12.48,54.0,3.36
239,Campbell River,40,CA,1551921302,30,50.02,-125.24,44.6,4.7
240,Ornskoldsvik,0,SE,1551918000,77,63.29,18.72,-0.41,4.7
241,Bethel,90,US,1551919980,86,60.79,-161.76,32.0,6.93
242,Tura,44,IN,1551921513,75,25.52,90.21,58.36,2.28
243,Porto Walter,8,BR,1551921513,82,-8.27,-72.74,81.35,1.95
244,Orlik,76,RU,1551921514,73,52.51,99.83,5.21,1.83
245,Ponta do Sol,68,BR,1551921514,95,-20.63,-46.0,65.74,3.18
246,Arys,12,KZ,1551918600,93,42.43,68.8,35.6,2.24
247,Dauphin,1,CA,1551920400,77,51.15,-100.04,5.0,5.82
248,Oak Harbor,90,US,1551921333,62,41.51,-83.15,21.99,13.87
249,Luderitz,0,NA,1551921515,87,-26.65,15.16,60.79,10.67
250,Novyy Svit,0,UA,1551921515,81,47.81,38.02,27.8,4.29
251,Golfito,0,CR,1551921482,80,8.64,-83.17,83.96,7.09
252,Dawlatabad,0,AF,1551921516,83,36.41,64.91,35.45,2.73
253,Port-Gentil,76,GA,1551921516,98,-0.72,8.78,81.53,2.39
254,Arlit,0,NE,1551921516,38,18.74,7.39,63.71,8.66
255,Lompoc,90,US,1551921419,87,34.64,-120.46,59.0,8.05
256,Warrington,40,GB,1551921429,75,53.39,-2.59,45.0,16.11
257,Faanui,76,PF,1551921517,99,-16.48,-151.75,84.68,12.8
258,Vanimo,32,PG,1551921517,99,-2.67,141.3,82.88,7.31
259,Swan Hill,0,AU,1551921517,43,-35.34,143.56,63.49,7.2
260,Wanning,20,AT,1551921477,80,48.64,13.53,45.0,3.36
261,Busca,90,IT,1551921428,100,44.52,7.47,46.99,4.7
262,Longyearbyen,20,NO,1551919800,65,78.22,15.63,6.8,5.82
263,Sitka,0,US,1551921313,46,37.17,-99.65,45.0,5.01
264,Matara,0,PE,1551921519,91,-13.74,-72.9,46.34,1.95
265,Muisne,100,EC,1551921520,80,0.61,-80.02,77.08,7.65
266,Lakes Entrance,8,AU,1551921507,35,-37.88,147.99,69.01,1.01
267,Fairbanks,90,US,1551921246,79,64.84,-147.72,26.01,4.18
268,Koson,0,UZ,1551916800,80,39.04,65.59,39.2,4.7
269,Port Macquarie,90,AU,1551921245,82,-31.43,152.91,69.01,4.7
270,Kerouane,8,GN,1551921521,33,12.23,-12.34,69.11,4.41
271,Sechura,80,PE,1551921521,72,-5.56,-80.82,79.64,9.33
272,Nanortalik,92,GL,1551921522,93,60.14,-45.24,31.63,20.18
273,Felanitx,0,ES,1551921373,63,39.47,3.15,61.0,16.11
274,Port Lincoln,20,AU,1551921522,90,-34.72,135.86,64.39,10.45
275,Rio Gallegos,20,AR,1551916800,65,-51.62,-69.22,44.6,10.29
276,Lebu,0,ET,1551921523,85,8.96,38.73,42.74,2.62
277,Tautira,20,PF,1551921183,62,-17.73,-149.15,87.8,9.17
278,Peruibe,80,BR,1551921224,97,-24.32,-47.0,81.8,10.0
279,Puerto Maldonado,36,PE,1551921524,89,-12.59,-69.19,78.92,0.72
280,Edson,1,CA,1551920400,72,53.59,-116.44,10.4,11.41
281,Kastamonu,92,TR,1551921524,86,41.38,33.78,25.24,2.62
282,Boda,5,BD,1551918600,100,26.2,88.56,50.0,3.51
283,Margate,40,AU,1551921494,44,-43.03,147.26,62.01,14.99
284,Taoudenni,0,ML,1551921525,24,22.68,-3.98,52.73,2.73
285,Santa Cruz,90,US,1551921236,87,36.97,-122.03,57.2,17.22
286,Te Anau,68,NZ,1551921525,73,-45.41,167.72,60.92,19.28
287,North Bend,90,US,1551921393,87,43.41,-124.22,45.0,3.36
288,Los Llanos de Aridane,40,ES,1551920401,63,28.66,-17.92,64.4,17.22
